count_point_id,year,region_id,region_name,region_ons_code,local_authority_id,local_authority_name,local_authority_code,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,direction_of_travel,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
78638,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,"McMaster's Rd, Stranraer",A751,208500,560910,54.90609217,-4.98858694,1.6,0.99,Counted,Automatic counter,W,3,20,2008,53,540,118,41,37,6,31,34,268,2889
78639,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A77,TA,Major,A717,McMastr's Rd,206880,561000,54.90627612,-5.01387767,0.9,0.56,Estimated,Estimated from nearby links,C,7,28,1994,45,571,96,8,9,6,28,27,175,2813
10912,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A762,PA,Major,A75,B795,268252,559200,54.91007997,-4.05659945,8,4.97,Estimated,Estimated using previous year's AADF on this link,N,1,1,112,0,47,7,7,0,0,0,1,15,175
10912,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A762,PA,Major,A75,B795,268252,559200,54.91007997,-4.05659945,8,4.97,Estimated,Estimated using previous year's AADF on this link,S,2,0,122,0,37,5,12,0,0,0,0,18,177
30888,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A714,PA,Major,B7005,A75,242100,560200,54.91147307,-4.46469466,8.5,5.28,Estimated,Estimated using previous year's AADF on this link,N,1,6,1243,39,319,39,3,0,1,4,17,63,1671
30888,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A714,PA,Major,B7005,A75,242100,560200,54.91147307,-4.46469466,8.5,5.28,Estimated,Estimated using previous year's AADF on this link,S,0,0,1216,29,334,28,9,4,1,12,17,71,1650
50752,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A77,TA,Major,"McMaster's Rd, Stranraer",A751,208000,561600,54.91209228,-4.99683456,2.6,1.62,Counted,Automatic counter,N,4,15,950,25,263,39,4,4,2,18,14,80,1333
50752,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A77,TA,Major,"McMaster's Rd, Stranraer",A751,208000,561600,54.91209228,-4.99683456,2.6,1.62,Counted,Automatic counter,S,2,11,930,18,276,52,4,4,4,9,12,85,1321
78640,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A718,PA,Major,B737 Leswalt High Road,Larg Rd,204800,561820,54.91282597,-5.04682763,0.4,0.25,Estimated,Estimated using previous year's AADF on this link,E,10,11,1876,25,420,40,15,5,2,8,8,76,2407
78640,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A718,PA,Major,B737 Leswalt High Road,Larg Rd,204800,561820,54.91282597,-5.04682763,0.4,0.25,Estimated,Estimated using previous year's AADF on this link,W,10,17,1918,57,480,44,16,0,8,3,3,73,2545
20749,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,A747,B733,230061,561379,54.91810456,-4.65297776,10.7,6.65,Counted,Automatic counter,E,1,20,1229,51,494,98,27,15,20,48,55,263,2057
20749,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,A747,B733,230061,561379,54.91810456,-4.65297776,10.7,6.65,Counted,Automatic counter,W,0,24,1180,34,469,99,25,13,24,95,128,384,2091
80294,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,A711,B736,273226,560111,54.91954954,-3.97946679,4.5,2.8,Estimated,Estimated using previous year's AADF on this link,E,1,26,3320,35,757,129,28,32,18,134,156,497,4635
80294,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A75,TA,Major,A711,B736,273226,560111,54.91954954,-3.97946679,4.5,2.8,Estimated,Estimated using previous year's AADF on this link,W,0,10,2897,38,712,123,21,28,17,73,207,470,4127
